id	emotion
34170_0012_A_89	0.0004055927856825292,0.0008045429131016135,0.0005282778874970973,0.0002412164758425206,0.00017723528435453773,0.00011975449888268486
34170_0012_A_90	0.0002607269852887839,7.655645458726212e-05,8.947160677053034e-05,0.0016028352547436953,0.00023143897124100477,7.526285480707884e-05
34170_0012_A_92	0.00035475005279295146,0.00012601706839632243,8.604376489529386e-05,0.0029890656005591154,0.000264551053987816,0.0001538043434266001
34170_0012_A_94	0.0003588888212107122,0.00014124414883553982,0.0002011420438066125,0.002054909709841013,0.00015771704784128815,0.0008911328623071313
34170_0012_A_96	0.0012462319573387504,0.0013073320733383298,9.909921209327877e-05,0.0003474375116638839,0.0005626793135888875,0.00010491877037566155
34170_0012_A_98	0.00019889230316039175,0.0004312903620302677,0.00026218077982775867,0.00010899422341026366,0.00012808339670300484,7.842587365303189e-05
34170_0012_A_99	0.0006411580834537745,0.0006509702070616186,0.00025136390468105674,0.0001414018333889544,0.0002905125729739666,9.340439282823354e-05
34170_0012_A_100	0.0008067112066783011,0.00032931487658061087,0.00024698174092918634,0.0003511080576572567,0.000587881077080965,3.876457049045712e-05
34170_0012_A_101	0.13960960507392883,0.0007725500036031008,4.8767691623652354e-05,6.861722067696974e-05,0.00020454562036320567,0.001637656707316637
34170_0013_A_103	0.0009721298119984567,0.00021433737128973007,0.00046326243318617344,0.00019821598834823817,0.00016924343071877956,0.000370881927665323
34170_0013_A_104	0.0007648317841812968,0.00019166682614013553,0.0004290090873837471,0.00017221696907654405,0.00016346530173905194,0.0004584850976243615
34170_0013_A_105	0.0009939391165971756,0.00021678887424059212,0.0005532880895771086,0.00021270234719850123,0.0001651447673793882,0.0003422607551328838
34170_0013_A_106	0.0008226162171922624,0.0007077006157487631,0.0011466494761407375,0.00018355093197897077,0.0003368192119523883,0.0003823000588454306
34170_0013_A_107	0.0027514593675732613,0.0013740360736846924,0.010179067961871624,0.0022792150266468525,0.00047411140985786915,0.010780428536236286
34170_0013_A_108	0.0001152946351794526,0.0012365540023893118,0.0007238240214064717,0.0009277388453483582,7.31187901692465e-05,0.00014493102207779884
34170_0013_A_109	0.00011246143549215049,0.001014234614558518,0.0010757226264104247,0.0017472372855991125,0.00022441838518716395,0.00042191200191155076
34170_0013_A_110	0.0006470309454016387,0.00032794266007840633,5.585245162365027e-05,0.0005710477125830948,0.0003552354755811393,0.00036229315446689725
34170_0014_A_112	0.008086747489869595,0.0007926909020170569,0.00020151662465650588,0.0001837234158301726,0.0013759286375716329,0.00025335498503409326
34170_0014_A_113	0.031027330085635185,0.0013394273119047284,0.0001947259734151885,0.00019189891463611275,0.0009396141394972801,0.00014867329446133226
34170_0015_A_115	0.00018148979870602489,0.0010034325532615185,0.0017250728560611606,0.00013164477422833443,8.825561963021755e-05,0.00016032072016969323
34170_0015_A_116	0.0007659936673007905,0.000612292904406786,0.0030901331920176744,0.0014273655833676457,0.00032284477492794394,0.01402360014617443
34170_0015_A_117	0.00042906712042167783,0.04442097246646881,0.00132630520965904,4.298278145142831e-05,0.00010545191616984084,0.0032721671741455793
34170_0015_A_118	0.0013222901616245508,0.0007414779975079,0.00015750902821309865,0.00020210089860484004,7.370525418082252e-05,0.0007018692558631301
34170_0015_A_119	0.0013571784365922213,0.002328474074602127,0.00013239955296739936,0.00015793392958585173,3.766236477531493e-05,0.0002861317479982972
34170_0015_A_120	0.0021364521235227585,0.0003572785062715411,0.0009219564381055534,0.004996948409825563,0.0004722443700302392,0.0010710813803598285
34170_0015_A_121	0.0012379835825413465,0.0036144149489700794,0.00027134630363434553,0.00024880620185285807,0.00019792340754065663,7.80180562287569e-05
34170_0016_A_123	0.0004191511543467641,0.0009986397344619036,0.00016733643133193254,0.00022324718884192407,0.00013788622163701802,0.00017006354755721986
34170_0016_A_124	0.0006509391823783517,0.00414959155023098,0.021306488662958145,0.0014934579376131296,0.00014051838661544025,0.00043144868686795235
34170_0016_A_125	0.0005619345465674996,0.0007672545034438372,0.00016862578922882676,0.00018220648053102195,6.043281246093102e-05,0.0001057951885741204
34170_0016_A_126	0.00019465411605779082,0.00036333801108412445,0.0003082648618146777,0.0004500530194491148,0.00014391104923561215,0.0006929682567715645
34170_0016_A_127	0.00023000601504463702,0.0004380453028716147,0.0003556737501639873,0.00046116404701024294,0.00014550545893143862,0.0006729821907356381
34170_0016_A_128	0.0011592700611799955,0.0111612007021904,0.0012030006619170308,0.0001952724705915898,8.666551730129868e-05,0.000113082722236868
34170_0016_A_129	0.00026980257825925946,0.0006044510519132018,0.00027988877263851464,0.0004487995756790042,7.217327947728336e-05,0.0011185959447175264
34170_0016_A_130	0.0014827981358394027,0.00030827370937913656,0.00029477651696652174,0.00014236911374609917,0.0002637103316374123,6.291148019954562e-05
34170_0016_A_131	0.00012583969510160387,9.980530012398958e-05,0.0010660637635737658,0.000932426075451076,3.638583802967332e-05,0.0007350270752795041
34170_0016_A_132	0.2413339465856552,0.0003600992204155773,0.0007675669621676207,0.0016361698508262634,0.003172827884554863,0.03727061673998833
34170_0016_A_133	0.0014487403677776456,0.00013885051885154098,0.00018290424486622214,0.00012566905934363604,0.000234180100960657,0.0002832994796335697
34170_0016_A_134	0.0009955570567399263,0.00012779644748661667,0.00015729301958344877,0.00017855782061815262,0.00017540190310683101,0.00027514054090715945
34170_0016_A_135	0.001381840673275292,0.00030178495217114687,7.62825075071305e-05,0.0001521677477285266,0.0001682635920587927,0.00022831332171335816
34170_0016_A_136	0.0005116787506267428,0.009451523423194885,0.00017714506248012185,0.0004951939336024225,6.556518201250583e-05,0.0004058790800627321
34170_0017_A_139	0.0006316082435660064,0.0016425654757767916,0.0005612984532490373,0.0006100540049374104,0.0002744553203228861,0.00024105643387883902
34170_0017_A_140	0.0004148797015659511,0.00738884462043643,0.00032947759609669447,5.969914491288364e-05,0.001079493435099721,0.0004060292849317193
34170_0017_A_141	0.00047036141040734947,0.0021735772024840117,0.002852880395948887,0.001073098974302411,0.0027200961485505104,0.02348775789141655
34170_0017_A_142	0.0009397376561537385,0.0031913029961287975,0.0008240362512879074,0.0011198800057172775,0.0009835739620029926,0.0030436303932219744
34170_0017_A_143	0.00030110395164228976,0.000705768121406436,0.00027852741186507046,0.00017972940986510366,0.0010536204790696502,0.00017205082986038178
34170_0017_A_144	0.0026246856432408094,0.003009423613548279,0.017921272665262222,0.0007870615809224546,0.0007852237904444337,0.009638681076467037
34170_0017_A_145	0.00019485747907310724,0.0013618867378681898,0.0006164790829643607,8.780589996604249e-05,0.0004383469349704683,0.0003707599244080484
34170_0017_A_146	0.0002029301249422133,0.001584861776791513,0.0006680811056867242,5.2256102208048105e-05,0.0005413760663941503,0.0006190543062984943
34170_0017_A_147	0.0018064698670059443,0.00030045147286728024,0.001994285499677062,9.66414954746142e-05,9.205557580571622e-05,0.0016438746824860573
34170_0017_A_148	0.0010587768629193306,0.0009380236733704805,0.0001593952183611691,0.0005023806588724256,0.0001853598514571786,0.0015265467809513211
34170_0017_A_149	0.0010256533278152347,0.000640614191070199,0.0006308818119578063,0.0007966640987433493,2.519539339118637e-05,0.000155690562678501
34170_0017_A_150	0.0007855322328396142,0.000994181726127863,0.0009430288337171078,0.0006137308082543314,2.5142730009974912e-05,0.00017183326417580247
34170_0017_A_151	0.00042104790918529034,0.0001852114510256797,0.0008351965807378292,0.0002106326282955706,0.0002851805475074798,0.010519439354538918
34170_0017_A_152	0.0037232141476124525,0.0035848799161612988,0.0004953838651999831,0.00026542434352450073,0.00010832874977495521,0.0001815622963476926
34170_0017_A_153	0.003671173006296158,0.0013659007381647825,0.0009080194868147373,0.001169872935861349,0.00024829473113641143,0.002009582007303834
34170_0017_A_154	0.0017703366465866566,0.0013316241092979908,0.0008099194383248687,0.00047073198948055506,0.00011103103315690532,0.0013836234575137496
34170_0017_A_155	0.00037844598409719765,0.0014856891939416528,0.004128510132431984,0.00048550229985266924,0.00012693372264038771,0.0005130692152306437
34170_0017_A_156	0.0014870231971144676,0.0017641660524532199,0.00015193328727036715,3.0109855288174003e-05,0.0001566931459819898,0.0009377893293276429
34170_0017_A_157	0.008387683890759945,0.0015415940433740616,0.00015088690270204097,0.00024096980632748455,3.5764900530921295e-05,0.000917689292691648
34170_0017_A_158	0.002260699402540922,0.0005666997167281806,0.0012843846343457699,2.4142784241121262e-05,0.0004138635122217238,0.001495319651439786
34170_0017_A_159	0.001056221197359264,0.0005137369153089821,0.0007369525264948606,0.00026818813057616353,0.00024917873088270426,0.00019285065354779363
34170_0017_A_160	0.0008457392686977983,0.0004990039160475135,0.000833930738735944,0.00023663774481974542,0.0002692664274945855,0.00021795049542561173
34170_0017_A_161	0.001123514724895358,0.0005812046001665294,0.0007580996607430279,0.00024101162853185087,0.0002614550176076591,0.00019404992053750902
34170_0017_A_162	0.0003962215268984437,0.00098332273773849,0.00013259134721010923,0.00027459271950647235,0.00014749440015293658,0.0016159680671989918
34170_0017_A_163	0.001433797413483262,0.000533047248609364,0.010608378797769547,0.0020208326168358326,0.00016608225996606052,0.0013310046633705497
34170_0017_A_164	0.0005602434393949807,0.0006960639730095863,0.00019203603733330965,0.0004462788056116551,4.590358003042638e-05,8.26705145300366e-05
34170_0017_A_165	0.0015380310360342264,0.0002449921448715031,0.0013023987412452698,0.0011301904451102018,0.0003312085464131087,0.002752987900748849
34170_0017_A_166	6.853658123873174e-05,0.0002685573708731681,0.0029867743141949177,0.0009461835725232959,0.00011773726146202534,0.00016087712720036507
34170_0017_A_167	0.11866532266139984,0.03316662833094597,0.0014808228006586432,0.000512143480591476,0.00016730149218346924,0.005335416179150343
34170_0017_A_168	0.0034654568880796432,0.0005117929540574551,0.00020886844140477479,0.0004869089461863041,0.0006239984068088233,0.0009486005874350667
34170_0017_A_169	0.004729917272925377,0.000705872371327132,0.00016749560018070042,0.0015477712731808424,0.00100383919198066,0.0007089716382324696
34170_0017_A_173	0.0043689482845366,0.0005033736815676093,0.0012845327146351337,0.0005192734533920884,0.00020980628323741257,0.006301357410848141
34170_0017_A_170	0.0002657287404872477,0.0005133104277774692,0.0005142554291523993,5.3020776249468327e-05,8.62456945469603e-05,0.008377112448215485
34170_0017_A_172	0.004627091344445944,0.0005417886422947049,0.0012663683155551553,0.0005331489373929799,0.00022005141363479197,0.005737049505114555
34170_0017_A_175	0.00027824309654533863,0.0009079649462364614,0.00029970347532071173,0.00021799850219395012,0.00024220853811129928,6.589949043700472e-05
34170_0017_A_176	0.00025472635752521455,0.0008169590728357434,0.00026242740568704903,0.00024083105381578207,0.00022859848104417324,7.204194116638973e-05
34170_0017_A_178	0.000666365958750248,0.0018085475312545896,0.0008550761849619448,0.0006539513124153018,0.0006517377914860845,0.00016303855227306485
34170_0017_A_179	0.00012967338261660188,0.001466018962673843,0.0032579326070845127,0.00026660694857127964,0.00023340177722275257,0.00044716947013512254
34170_0017_A_181	0.000626363093033433,0.0002422009129077196,0.00031919253524392843,0.00021524514886550605,5.58819665457122e-05,0.00011902047845069319
34170_0017_A_182	0.01309775561094284,0.12073951959609985,0.011704742908477783,0.0008990899077616632,0.005216089077293873,0.0006357251550070941
34170_0017_A_184	0.0007118517532944679,0.00019697481184266508,0.00013545311230700463,0.00019483389041852206,8.0357029219158e-05,0.00022436425206251442
34170_0017_A_185	0.0006608348339796066,0.00033089506905525923,6.672753806924447e-05,0.0003507610526867211,0.0007934545283205807,0.00011428959260229021
34170_0017_A_187	0.00054448057198897,0.00029012581217102706,6.354556535370648e-05,0.0006764321587979794,0.0011122481664642692,0.0001569701125845313
34170_0017_A_188	0.0007553119212388992,0.00010922896763077006,0.00555822066962719,0.013189008459448814,0.0005294104921631515,0.0012793702771887183
34170_0017_A_189	0.0021743178367614746,0.0021411310881376266,0.003018908202648163,0.012040975503623486,0.012479126453399658,0.0017422526143491268
34170_0017_A_191	0.003102492541074753,0.0006306874565780163,0.0003444297472015023,0.0009620938217267394,0.0018596488516777754,0.0029681227169930935
34170_0017_A_192	0.006557952146977186,0.0009476288105361164,0.0005079773836769164,0.0006219479255378246,0.0015214376617223024,0.003112196922302246
34170_0017_A_193	0.00031132149160839617,0.0006852644728496671,0.0002692014677450061,5.5843396694399416e-05,0.00018375390209257603,7.702050788793713e-05
34170_0017_A_194	0.0020116399973630905,0.0030937709379941225,0.00012718088692054152,0.005475764162838459,6.644363020313904e-05,0.0008768454426899552
34170_0017_A_195	0.01142311654984951,0.016222622245550156,5.487539237947203e-05,0.0014995539095252752,0.0005958556430414319,0.00031588540878146887
34170_0017_A_196	0.019185731187462807,0.01439271867275238,7.203953282441944e-05,0.0008587550837546587,0.0010680011473596096,0.00038659130223095417
34170_0017_A_198	0.0004850229306612164,0.000441655982285738,0.00013469866826198995,0.0002803257084451616,7.88416073191911e-05,0.0005223852349445224
34170_0017_A_199	0.00036818068474531174,0.00035771861439570785,0.00020009768195450306,0.00016118423081934452,6.964096246520057e-05,0.0003480569284874946
34170_0017_A_200	0.00139068893622607,0.00040976511081680655,8.044076093938202e-05,3.884969191858545e-05,0.0002257332089357078,0.0003429821226745844
34170_0019_A_207	0.00016584059630986303,0.00034641000092960894,0.0010078402701765299,0.00012985602370463312,0.0008068119641393423,5.522998617379926e-05
34170_0019_A_208	0.001934506930410862,0.0010473483707755804,0.00045361259253695607,0.00018699375505093485,0.000643104431219399,5.292605419526808e-05
34170_0019_A_209	0.016530487686395645,0.0721697211265564,0.00029382656794041395,0.00031797218252904713,0.002723353449255228,0.0005832074675709009
34170_0019_A_210	0.0003892438253387809,0.007414249703288078,0.000878776190802455,0.0004209298640489578,9.637910989113152e-05,8.671321847941726e-05
34170_0019_A_217	0.00038259325083345175,0.0008236238500103354,0.0014734069118276238,8.977115794550627e-05,0.0003291265165898949,5.391291415435262e-05
34170_0019_A_219	0.002367048989981413,0.004216195084154606,0.00016525584214832634,0.0001370280224364251,7.130007725208998e-05,4.068689304403961e-05
34170_0019_A_225	0.0010792145039886236,0.0004927950212731957,0.0015836930833756924,8.058901585172862e-05,0.00044745352352038026,0.000290021242108196
34170_0019_A_226	0.001359523506835103,0.00036923924926668406,0.00034929680987261236,7.641590491402894e-05,0.00012348189193289727,0.00020293962734285742
34170_0019_A_231	0.001088232733309269,0.00013107854465488344,0.0007894741138443351,0.0004580026725307107,0.00028798740822821856,0.000202267081476748
34170_0020_A_238	0.00015409810293931514,0.0008446312858723104,0.0006765786092728376,0.0003981405752710998,8.496832015225664e-05,0.00030609435634687543
34170_0020_A_239	0.00011054155766032636,0.0008716710144653916,0.0005411618622019887,0.00045888571185059845,9.461981244385242e-05,0.00027971211238764226
34170_0020_A_240	0.00019581214291974902,0.0025149874854832888,0.0038524195551872253,0.00031436249264515936,9.770439646672457e-05,6.74302427796647e-05
34170_0020_A_241	0.00023713355767540634,0.00011994490341749042,0.0005166810005903244,0.0003196268808096647,0.00018289274885319173,0.002568983007222414
34170_0020_A_242	5.945415614405647e-05,0.00014232569083105773,0.000748663442209363,0.0009522412437945604,0.000990150379948318,0.0011949120089411736
34170_0020_A_243	0.0001601495750946924,0.00015008827904239297,0.0003566712257452309,0.0017924578860402107,0.00016566435806453228,0.0002575442485976964
34170_0020_A_246	0.0068779923021793365,0.0013022939674556255,0.0004239223198965192,0.0001195103395730257,0.00042496726382523775,0.00021423172438517213
34170_0020_A_247	0.0006342151900753379,0.0010205867001786828,0.0003998091851826757,9.793891513254493e-05,0.00034822028828784823,7.822412590030581e-05
34170_0020_A_251	0.0006427035550586879,0.0003023604804184288,0.00017850879521574825,0.00017623216263018548,0.00014732264389749616,0.00012975996651221067
34170_0020_A_252	0.0007246325258165598,0.0002567211049608886,0.0002717541647143662,0.00017891015158966184,0.00022576205083169043,0.00017100220429711044
34170_0021_A_255	0.00014188836212269962,0.0018799391109496355,0.0019109786953777075,0.0005877023213542998,0.014081122353672981,0.002647395245730877
34170_0021_A_257	0.0009176104795187712,0.0012253131717443466,0.00021126968204043806,0.0006469914806075394,0.00021136985742487013,5.835958290845156e-05
34170_0021_A_259	0.00030341642559506,0.004490941297262907,0.051227062940597534,0.0006982848281040788,0.021582037210464478,0.0010210237232968211
34170_0021_A_261	0.027425486594438553,0.10848598182201385,0.00043081524199806154,0.00038822332862764597,0.00019025770598091185,0.00041731150122359395
34170_0021_A_262	0.0007177632651291788,0.0031723855063319206,0.0009792606579139829,0.0013564398977905512,0.0008112093200907111,0.0004972554743289948
34170_0022_A_265	0.005910922773182392,0.01320574153214693,0.0008607542840763927,0.00022964438539929688,0.0001640061818761751,3.0785489798290655e-05
34170_0022_A_266	0.00466690119355917,0.0009036901174113154,0.0006850855425000191,0.0001233850052813068,0.00018258759519085288,0.0002175107365474105
34170_0022_A_267	0.0027722716331481934,0.0007063738885335624,0.0007081272196955979,0.00013537447375711054,0.00022310865460895002,0.00017707631923258305
34170_0022_A_268	0.0005967153119854629,0.0005311062559485435,0.0005241894978098571,0.0006113689159974456,0.00038258996210061014,0.0002866260474547744
34170_0022_A_269	0.00023902746033854783,8.878626977093518e-05,0.000270309392362833,0.00033892851206474006,0.00012992488336749375,0.0005255522555671632
34170_0022_A_270	0.00020006904378533363,0.00011542895663296804,0.00016029916878324002,0.0011058305390179157,0.00022666547738481313,0.0005167844938114285
34170_0022_A_271	0.0010237375972792506,0.009795622900128365,0.000666711712256074,0.0002377975033596158,0.00036297785118222237,0.0013800892047584057
34170_0022_A_272	0.0012965069618076086,0.0027485955506563187,4.697631811723113e-05,0.0010167511645704508,8.054561476456001e-05,0.0010494187008589506
34170_0022_A_273	0.00033985928166657686,0.0010809109080582857,0.00021830742480233312,0.0008197624702006578,0.00025521093630231917,7.574174378532916e-05
34170_0022_A_276	0.0015221412759274244,0.0012549040839076042,0.00030067015904933214,0.0012179556069895625,0.0005047458689659834,0.0001532536989543587
34170_0022_A_279	0.0012115639401599765,0.00042073766235262156,0.0001667930046096444,0.00024560405290685594,0.0020749103277921677,6.448330532293767e-05
34170_0022_A_280	0.003627555910497904,0.00025571935111656785,0.0001324123004451394,0.00047144037671387196,0.00014279974857345223,0.0002464681747369468
34170_0022_A_281	0.00634063221514225,0.00024801926338113844,9.868424967862666e-05,0.0005817473866045475,0.00018322773394174874,0.00022149689903017133
34170_0022_A_282	0.00029878548230044544,0.0005301858764141798,0.0007941622752696276,0.00011417455243645236,0.0005767930415458977,5.83677101531066e-05
34170_0022_A_283	0.0002917226229328662,0.0003588247927837074,0.0005357831250876188,0.00015636772150173783,0.0006628870032727718,6.214292807271704e-05
34170_0022_A_284	0.0007708576158620417,0.0012771958718076348,0.00013744080206379294,0.00012546739890240133,8.262826304417104e-05,0.0005816270713694394
34170_0022_A_285	0.0031535839661955833,0.0032939030788838863,0.0002826766576617956,7.897691102698445e-05,0.0023562083952128887,0.000373371469322592
34170_0022_A_286	0.0007708576158620417,0.0012771958718076348,0.00013744080206379294,0.00012546739890240133,8.262826304417104e-05,0.0005816270713694394
34170_0022_A_287	0.0023106152657419443,0.0008899722015485168,0.00010334690159652382,0.00010810160893015563,0.001872470136731863,0.00021948450012132525
34170_0022_A_288	0.05906728655099869,0.016905106604099274,0.0014331270940601826,0.0018662095535546541,0.12278679013252258,0.006916162557899952
34170_0022_A_291	0.0033495360985398293,0.00024537439458072186,0.00031589053105562925,0.00017225179180968553,0.00023306750517804176,0.0006391457282006741
34170_0022_A_292	0.002130025764927268,0.0002157620037905872,0.0003184464876540005,0.0001466877292841673,0.00018703495152294636,0.0006431344663724303
34170_0022_A_293	0.0024385678116232157,0.00021827869932167232,0.0003027332422789186,0.00016426396905444562,0.00020134277292527258,0.0006956778233870864
34170_0022_A_302	0.00611657090485096,0.004480326548218727,0.00020505927386693656,7.580577221233398e-05,0.003578857984393835,0.0002887320297304541
34170_0022_A_295	0.004648845177143812,0.0003385916061233729,0.00025134399766102433,0.0003292185137979686,0.0005652577965520322,0.0003125782823190093
34170_0022_A_298	0.0008872849866747856,0.0005557985277846456,0.00018786455621011555,0.0001530481968075037,0.002168542006984353,6.388151814462617e-05
34170_0022_A_299	0.007863476872444153,0.0011415581684559584,0.00022660865215584636,0.00018423801520839334,0.0005109640187583864,0.00021198551985435188
34170_0022_A_300	0.0021032565273344517,0.0025954663287848234,0.00014564761659130454,4.213118154439144e-05,0.0011744627263396978,0.00014880477101542056
34170_0022_A_301	0.0012017221888527274,0.00022998935310170054,9.212257282342762e-05,0.0004626598092727363,0.00017070338071789593,0.0005597421550191939
34170_0022_A_303	0.02429613657295704,0.009246701374650002,0.0005813342868350446,0.0014630210353061557,0.08290505409240723,0.0034768744371831417
34170_0022_A_304	0.0007703763549216092,0.00611201673746109,0.00038706345367245376,0.00010840190952876583,0.0003581783385016024,8.341349894180894e-05
34170_0022_A_305	0.00017988422769121826,0.003595424350351095,0.0002841596433427185,0.0025163721293210983,0.0013304896419867873,0.0004966143751516938
